Loan_ID,Customer_ID,Gender,Employment_Status,Loan_Amount,Interest_Rate,Loan_Term,Loan_Purpose,Loan_Status,Monthly_Income,Credit_Score
b15f9276-8a48-4226-b222-3988b0750264,bd6af180-03e6-498c-8c07-6fb5fc5cf6cb,Female,Employed,18270,7.08,36,Business,Defaulted,3427,849
1b96cd5e-9741-4c87-ba50-5b325d0cf19c,b62a80e5-3c6f-4834-97c5-46b482355e18,Male,Self-employed,21746,4.98,12,Business,Paid,4083,514
2e1acaba-9d84-4284-8252-c7f563fa99ea,7c004e3d-de36-41cc-831a-576d7ff1449c,Female,Employed,21752,12.94,48,Medical Bills,Paid,4430,361
4a7588ea-53c2-48a7-b892-460be54f3a0a,58105ecb-93de-466a-8585-c707b42000d6,Male,Retired,30012,10.02,12,Home Renovation,Approved,3456,601
61add846-d431-41a2-a701-0d9862a8a425,b4809267-7358-45d7-be18-4958c2d003b2,Male,Employed,37757,11.01,24,Home Renovation,Rejected,2185,424
0f2c799b-7ea0-4ce6-8096-97302d7e04ab,3cc5be64-0404-4c5a-9602-2d6b72d9868c,Female,Self-employed,28449,7.84,12,Medical Bills,Approved,3739,667
d60c630c-23a5-4502-b306-29eae2d30118,318b3359-e341-4170-ba2f-03aab38d202a,Male,Unemployed,38795,8.27,12,Medical Bills,Defaulted,2298,762
5b1fea90-27f5-49dd-bfb0-0be809c54cf4,629276f9-f813-4228-b8ae-80b633f6c3cd,Female,Self-employed,43924,11.39,24,Car Purchase,Approved,2376,582
1e01420d-4502-4f12-b3ed-dabec0250e10,bae95792-d2fd-4509-9497-29c32020a8c3,Female,Unemployed,19601,14.71,12,Business,Approved,1231,438
bc681059-d497-4fd9-8f80-1241440e4184,3fe85585-9f40-4c4e-ac69-3acb4582a9f3,Male,Self-employed,29822,6.05,24,Education,Defaulted,1331,315
e541ad6f-26e3-43bb-8b03-8a340ab64f36,d4164a3d-5351-47db-a9dc-3f9b14aca976,Female,Employed,45697,8.5,48,Home Renovation,Paid,665,533
9eed88a3-7810-4a41-8d50-82c141d44f5e,3b2bd81b-47ef-4e71-a1ea-95cb2df5fd6e,Male,Self-employed,44428,12.54,12,Medical Bills,Defaulted,4798,431
cd725d47-7c50-4a8a-9d13-3ba16dc731e7,d93191e3-9ca9-4bf3-9302-7a9a1d59f296,Female,Employed,11031,11.34,24,Education,Defaulted,2299,813
d30e349e-74c2-4629-9d2c-a788fab6aca2,7a4a4dab-a2a8-4b12-ac5d-c2ed13273e1b,Male,Unemployed,24812,7,60,Home Renovation,Defaulted,4813,820
8c600a03-687e-4278-9110-de78d3542598,709e353d-bf63-4f82-b2c7-85f35cd887f0,Female,Retired,45037,5.42,36,Home Renovation,Paid,4415,529
78cdae3f-5de2-4c86-919d-679293bd0dce,7eb65d8c-dddb-4684-8f8a-fd1fa4c9bcfd,Male,Retired,34335,12.16,24,Business,Paid,801,425
0ad154a1-9397-4d30-9736-df6ff77ea01e,a6b0524d-6221-4358-933c-61eacc928bd5,Male,Unemployed,8074,6.95,12,Medical Bills,Paid,4644,443
0e7813ee-c731-4ff8-afd4-b91e4d810580,a16b616d-2a16-4dcf-ab9c-5952f33e8d0d,Female,Self-employed,25790,14.87,48,Medical Bills,Paid,448,637
cfd25cdd-734e-4e52-bb82-fb9a2afc22d9,bb016d3b-6e63-476e-9d82-b9d0b35c0f7a,Male,Unemployed,38167,13.26,48,Home Renovation,Defaulted,2949,426
ab88ecff-5159-4293-a3a4-3e7d076b8d72,b32eafcd-d1d5-478b-99d9-87f53d03a4ab,Male,Unemployed,14097,14.81,60,Medical Bills,Rejected,397,329
712ad9f1-ccae-46b4-b75f-a2c54a558e55,d0e62aec-f28e-4332-8941-0639b06156e3,Female,Retired,33824,8.48,12,Medical Bills,Paid,3637,706
6320bcfb-ee9f-4d8b-b544-46355efd2dc1,62ba1b72-42c0-4edc-b51c-ce1f8f05fc81,Female,Unemployed,30880,9.23,48,Home Renovation,Paid,4910,411
df4ad354-fd8a-4552-92dd-931c738800d9,6fdc7cb6-da26-41cf-9ade-9abc7b6f9ddf,Male,Employed,26730,10.05,48,Medical Bills,Defaulted,3847,657
5ca86914-cc02-4e14-9170-d93daf1fe5be,c35d04be-38b8-4fea-8802-0cebddfc1890,Female,Unemployed,25595,6.61,36,Education,Paid,2588,428
bedca31a-bfbd-4f01-b578-0884f72f50dc,1eb0378c-3651-49a6-96f0-b309e84796f6,Male,Self-employed,722,3.7,48,Home Renovation,Defaulted,1729,676
748c838d-8053-4156-9e32-d43adbddc3c1,e9a5ca30-5b26-4757-ba95-f8dc597552c4,Female,Employed,48250,4.66,48,Education,Rejected,1694,516
ed4e71af-8bb7-40ba-acf6-8cd94f9d43fc,a55c15e3-7b1d-4aa5-8380-e3f5041a9321,Male,Employed,26506,7.22,60,Business,Defaulted,1824,330
8429dbde-b4df-4cce-bc14-0f3dd51609bd,1ace9b9c-647b-4490-af1d-10096d916498,Female,Employed,11799,7.88,36,Medical Bills,Rejected,3860,811
02f1597c-9e2a-4b4e-ada1-b0a9ee66524a,9b771f8f-3bfd-49b5-8205-3ff3175546f3,Male,Unemployed,47112,12.03,36,Business,Paid,1592,803
52995fd4-85f8-4bb1-949f-ea0e6f591e70,ec454484-f52a-4c59-b332-ba03566270ab,Female,Unemployed,29267,4.07,12,Education,Approved,4828,546
c5e6a88d-be4f-4b94-aff6-948ab816b68d,1428276e-045a-4b53-8294-09b21541c441,Male,Employed,23539,12.81,48,Car Purchase,Defaulted,1236,471
d92564ed-1d3e-4764-964e-280c2b99f33f,f21de00f-d395-4ed5-9313-e1dad1745840,Male,Self-employed,39183,9.05,48,Education,Defaulted,1154,478
c70d7c17-bdbb-4d19-acc6-f5a1211a8c06,09c98641-0dff-455c-829f-69f1acc51f3a,Female,Unemployed,14344,10.22,36,Medical Bills,Rejected,1341,628
45c95ac9-b446-47f8-a3c0-61c2774c4572,8f8da41b-d2a1-43b5-9533-1a396144b1aa,Male,Unemployed,43353,8.6,12,Education,Paid,4532,450
e7b6059b-895e-4d75-8e55-b1d445c6816c,55c8b940-7453-4183-9dfc-20b38192232b,Male,Retired,47565,6.99,12,Business,Rejected,393,580
888009a0-f964-4fb3-8917-26aeb0752c55,7aedba6f-1a0a-4807-b16c-399db777a54c,Male,Retired,39946,13.62,60,Business,Defaulted,357,409
1b23e6b7-ffe6-4451-80db-68c34ef1cf7b,dd1ef9c0-a80c-488c-9ee2-ded9726d67d0,Male,Employed,33590,5.24,60,Car Purchase,Approved,586,779
7e71342d-7eb1-4195-b46d-03ef69b25284,ffe76e47-bc6c-4782-b089-e6e9abcab241,Male,Self-employed,6424,12.09,24,Car Purchase,Approved,633,609
5c37adf3-818b-485d-b868-27370fc5c8e8,8fbdc76b-d3ca-4b89-bdaa-135bdf5afb0f,Female,Unemployed,31195,13.22,12,Education,Defaulted,394,687
2a2a5f55-81c1-40fe-8e8d-503469e8e570,52466fe9-d2f2-4678-b608-72c127f9a9c8,Male,Self-employed,33539,14.68,60,Medical Bills,Paid,965,810
03a97617-0ce2-41df-8a82-60056b9cc994,29c3dbc3-4ab8-4ec9-a23f-585ff55f75f5,Male,Retired,42864,12.65,12,Education,Paid,516,319
02688386-7f66-4235-9265-a4066eee0528,5fc1d47c-2ef6-4c80-b9b4-53820ee9408a,Female,Retired,13533,12.84,12,Business,Rejected,1575,345
b4699e03-c524-4dbc-848f-d1af94e44ddf,d9e7f12f-1a5f-481c-9553-5cb2e0170292,Male,Employed,4614,8.93,24,Business,Defaulted,4452,732
529c054a-f4c9-4c65-84a5-4da7fa56fbf9,639510d5-4fb9-4c3b-961f-e2ba7447d5ec,Male,Unemployed,27806,11.49,24,Medical Bills,Rejected,2823,828
cb2b1486-392f-422f-9c33-1003d4e549c7,1bee1a9e-6e6e-4bb4-bd88-1c4864b069c8,Male,Unemployed,4562,12.07,24,Car Purchase,Approved,4144,596
1b25f763-5bb6-45e4-b1a0-0c78f4ce3eb4,8d410b62-4892-42f8-aea8-7a57a7ad56b2,Male,Self-employed,34157,14.94,60,Car Purchase,Defaulted,1213,627
68d9268a-7fdd-4a64-82fa-4a619f0d353a,9e4c452c-b2f2-445a-9fcf-3073d189a003,Male,Self-employed,15422,14.58,24,Business,Approved,290,428
3e45fe49-8608-4339-95c8-a6686bf82768,696ede27-5ff3-409d-afc3-d38d6fdd51c1,Male,Self-employed,41201,7.95,60,Education,Rejected,4233,485
0143042d-7975-4009-bfde-a28726cdd353,5ef73a63-709f-4052-a53d-df2c1ad8697a,Male,Retired,1243,12.54,12,Business,Paid,3296,513
920c4e85-75bd-4b95-b82a-3c644b4261dd,f2cb06df-5cc1-40c2-bbaa-4ec4f75d984d,Male,Self-employed,36919,4.98,36,Medical Bills,Approved,2924,521
82e64510-e198-46ad-8761-0a0697459ed1,16ad7241-922b-43bb-92d8-b94b56abc790,Male,Unemployed,42942,4.77,48,Car Purchase,Approved,2938,333
affdeef5-e241-4780-bfc1-13549a77e494,8944fbc1-2280-45bf-b388-a0bf915bcf0e,Male,Unemployed,11664,13.63,48,Education,Approved,1378,308
53faf175-39f3-4b61-aa47-8ed711cf0457,870a8aeb-c9fa-411c-bef5-1a4c093111cf,Male,Unemployed,7726,8.41,12,Medical Bills,Approved,1103,453
f14f57be-b686-4dbf-94b5-bd5e3beff073,136c3b58-6465-40ea-9ec1-909674e50bd6,Male,Retired,11030,3.73,24,Medical Bills,Rejected,4505,843
14539e42-5e20-4618-b53f-a8a4396c441c,16ecc696-0308-48b1-9684-70cbb5625445,Male,Unemployed,27167,4.6,24,Home Renovation,Defaulted,518,828
1def5ebf-76d7-4dbe-a92a-cc8d3b00d963,f3a32113-bb38-4c9f-a3f2-d6b18d2304e8,Male,Unemployed,32763,9.38,24,Business,Approved,1187,728
8a042547-0f45-463b-8c17-5c5b663f9ed1,1286624d-561e-46ee-b7b0-e55313668f19,Female,Self-employed,2720,7.27,48,Car Purchase,Defaulted,2505,514
f4d5cb51-4b2f-48b0-bab8-e631c7818478,a7f68960-6b51-4a99-9107-4e4f69d400d0,Female,Employed,42381,8.75,24,Medical Bills,Approved,4197,507
c626e6cc-ab6a-4855-934c-308f0aca79d9,d7a77943-40a3-4188-9e38-bf5d7d0869c3,Female,Retired,43515,6,48,Home Renovation,Paid,2732,460
71ff9d56-c39b-4661-804f-ace2435dd8b9,5a6d1360-8675-4b8a-88a2-1d953f7e5445,Female,Self-employed,18085,4.82,12,Home Renovation,Approved,3035,563
0aa9a16e-e970-42ac-8728-6ce3e039cdf3,b4293a82-99ab-4505-8b57-b8c0e8c666bd,Male,Retired,17666,12.54,60,Car Purchase,Paid,3796,332
23cde002-6102-48a4-8b75-b502b82b8803,15b1e079-2eb8-44d1-8f54-81e9c0c65d04,Male,Employed,37110,14.91,48,Education,Rejected,1056,585
fbba86f1-8bbc-4b00-be05-87c7e59cb13d,49bf323c-aa2f-41ef-8379-94d2a6b06814,Male,Self-employed,17307,7.86,48,Education,Paid,2582,566
27d7fbe8-63e6-41af-abb2-fe9d48932a5b,310cf448-f853-493a-9a55-6ba6c6147258,Female,Unemployed,35346,9.1,36,Medical Bills,Paid,2205,669
fbb17c5f-dae4-4866-a037-ef97555cd787,166e080a-2bd0-4311-8611-ad1c09a7786b,Male,Employed,15613,8.84,48,Car Purchase,Rejected,157,788
b89800fb-6a1d-47d5-8cfa-eb03faf2a873,55be23a4-9884-4d04-8460-150bea8b1a91,Female,Unemployed,11286,6.64,12,Car Purchase,Paid,1851,732
74453772-1f52-474b-b570-db3697b4c9a3,21f79795-7163-4ba0-b269-0f8447b4e279,Male,Self-employed,36685,9.53,36,Business,Paid,3864,661
16ac35e1-f208-43bb-85e5-9e84cb7ebebc,7bc70d82-cf75-4eef-8232-6ce5291c2d48,Male,Unemployed,11501,5.82,36,Home Renovation,Paid,4124,810
a361c912-95b3-44d1-b35d-179076c6ce6f,b3f815ef-42d3-4f54-92a9-341e72beea39,Male,Employed,21339,5.05,60,Car Purchase,Paid,4226,620
e642a11b-0e43-42a6-94fa-4cbd45ef7ce8,91d92d92-2090-44b9-9bef-76c865bfa4e8,Female,Retired,1279,4.34,36,Car Purchase,Rejected,2822,740
55d49235-7dac-43b4-8723-ec19e72d7ff2,692c9d02-255a-4431-91e3-0231430f8779,Female,Employed,21041,10.33,24,Car Purchase,Paid,3002,527
419155b1-69a0-41fb-ad8d-e107785d072a,ab145666-6292-407a-8051-e8beb9fe5a1e,Male,Employed,6122,12.85,48,Home Renovation,Paid,2962,389
8ae9503d-2898-4d5e-ba39-d1462a3e8787,3ca03746-dca9-4cc0-9ecf-1078145030ce,Female,Retired,47139,6.68,48,Car Purchase,Defaulted,1647,717
cb5a92b6-57cb-4471-b899-d4f99cc9189c,3f92e021-fb36-49d7-a833-954e348d1400,Female,Retired,19709,13,24,Business,Rejected,1846,329
9eadeee4-9a46-46c8-a47e-c3a97484f561,4e7c5dcf-d1ff-40cf-b8c0-e2b41bc9dc4b,Male,Unemployed,36403,5.51,12,Home Renovation,Paid,2771,508
37da028a-f86f-4764-af0e-242c996cc8dc,de1c9cae-e98e-4a66-9f3a-a89fee1e0b5f,Male,Self-employed,15114,7.66,36,Medical Bills,Defaulted,3864,399
61a53021-68db-4dc4-9932-7ca34ba7e919,ad75eea3-b976-41f6-92d1-f5511d056cf6,Female,Unemployed,46296,7.92,48,Home Renovation,Rejected,4217,779
5d01a4db-618e-4951-aebf-c597649e60a0,84eefa94-53ca-4a02-85c0-682256055ee4,Female,Employed,13954,13.29,24,Business,Approved,3319,688
aaf3551b-4e41-4be4-89e8-40d2ea332822,7c78ab8b-3c0a-440f-a04b-626a49c5a2f5,Male,Retired,32031,14.92,36,Medical Bills,Paid,4087,849
e9cd9739-c42f-4ab5-8a73-098f9991c0ca,ae94103e-941b-4f7b-90bf-8168dd22db0e,Female,Employed,39451,13.76,48,Business,Paid,2722,321
c72dc45f-6df4-4f73-8d73-fdf1ba09812f,8302c6af-6468-4c06-bfff-b4cbe23ac7dd,Female,Retired,11341,3.56,48,Car Purchase,Approved,265,777
57888805-42d0-4e2f-9363-8918527704bb,636d84fa-eba3-41eb-9f6b-6e832b065001,Female,Employed,15864,11.4,60,Home Renovation,Approved,3870,819
9cdae03b-490c-41df-b78b-9a8fce4d1299,b7f5fb53-6d68-4e6f-bc31-d715bbc960bf,Female,Unemployed,12823,13,24,Medical Bills,Approved,4879,473
d60a23bc-7df3-4030-9331-e4986fe59d10,ae662ca6-f2b0-4882-8db3-890a425e3fac,Female,Retired,35619,9.62,48,Business,Paid,4300,505
9a4ce2a0-5cdc-404b-a53f-f862c43e785e,47b73c2f-ba17-4a1e-af48-b7a19f9a8e68,Female,Unemployed,5052,8.81,36,Car Purchase,Defaulted,3226,538
7ec481b1-6de6-467e-b86b-702a4669d227,c0d891df-d31b-40cc-853a-b96a27ff6e27,Male,Unemployed,22719,4.88,60,Business,Defaulted,3043,300
0b92392a-0dcf-4068-a499-df8bc9d8a21a,5efe48bd-7140-4f81-ab61-3d0cc7f4ba52,Male,Retired,43082,3.52,24,Home Renovation,Rejected,1450,386
06c5441f-c256-4617-a76f-f0054bd0d2b7,2744e50f-98d3-42ab-88c3-d1b160c88522,Male,Self-employed,10840,5.62,60,Business,Paid,3400,650
ef58ad45-7bb0-4cc8-b269-560518bcd0e8,d7f1fb6c-e5a3-4c79-b189-44d553f71222,Female,Retired,44738,10.59,24,Education,Defaulted,3851,515
27bd702f-8271-4498-9d05-3a05916d7e8d,46451926-f4cc-4aea-9d90-ed8cd80eab44,Male,Employed,8465,5.32,12,Home Renovation,Paid,675,772
1b380474-8359-4347-bbed-36cb62e9d8fd,a385d4d7-ac63-4910-a951-5cde91c572d3,Female,Self-employed,20623,9.43,36,Business,Defaulted,2394,482
11fe95e9-163a-45fa-9e6f-e07a16afc106,d1a70e52-3f76-481c-bb11-4f07b4458454,Female,Employed,48038,11.41,24,Car Purchase,Defaulted,2298,742
b36197eb-f7fd-40f0-b218-d312187dd67b,ac63adca-90af-43dc-b016-733ec5be72d4,Female,Employed,40020,12.45,60,Medical Bills,Defaulted,2529,506
7b48c673-0cb6-42f3-9d49-db812dea6b58,7dbe21fc-6ed4-4971-a804-332ad73f7285,Male,Self-employed,37717,13.97,24,Education,Approved,3663,521
9cec5e04-d0d3-4cb5-896f-fd9dc739500c,47db845b-3cb0-45b6-9954-d722917054ad,Female,Retired,18588,6.26,48,Education,Paid,507,376
39a67f22-0050-4e8d-b57b-b5f5db549137,682930b6-9b41-4a88-91f3-7060351ee620,Female,Self-employed,596,10.96,24,Education,Approved,4940,429
bdd67174-483b-4be0-87c5-288aac077155,4f06de4a-179d-4910-87da-66f9480a721d,Female,Self-employed,43579,11.7,60,Car Purchase,Approved,1510,355
53332123-c98e-4875-9cc9-97b928d1c183,b410bbaa-1c34-4f85-84dc-047e66c13d7b,Male,Employed,18892,7.37,60,Medical Bills,Paid,2510,744
ad6bccde-ca90-455d-be0a-f41012a6df93,3d361848-b108-4128-86fa-7ba0d89b7183,Male,Self-employed,1098,14.81,12,Home Renovation,Paid,1847,814
bf725c08-ea57-464c-9c9c-18564752432f,c46c67a7-33e6-488b-8cfb-ce9bad37dc85,Female,Unemployed,20863,7.67,48,Education,Approved,4505,776
1eb7df6e-9e78-48fe-a16e-ecd47be0980e,d871d8ba-9e0f-46e4-ba72-63c7fa3362c8,Female,Retired,12268,8.18,48,Medical Bills,Defaulted,243,569
975c544e-b434-42b5-b380-b1c9abc2c682,37d5c79d-fcec-4d2f-8f31-86e472ed3498,Female,Retired,29473,8.46,36,Medical Bills,Paid,3315,800
866c0668-a5ff-49ac-840e-72a7d7fbccd1,25cdb198-59f5-4f22-a9bd-99e6719c4d82,Male,Retired,3032,12.8,36,Home Renovation,Approved,2798,554
9975bb9f-2761-415f-8bb1-b33467833476,a10b411e-edb3-4d35-979e-249e1aff1b65,Male,Unemployed,12455,14.38,36,Car Purchase,Paid,1007,375
f1cc7219-0d83-457e-8927-63eeeed8ae15,603051c7-85ab-4f31-9e3d-72cc3e489cfe,Male,Unemployed,28171,11.09,24,Home Renovation,Defaulted,4447,504
3479b667-2866-478d-ad3a-d5108cd7eecc,53c83fbe-dd0a-46c7-87ff-e2c30c42314f,Female,Retired,5596,8.86,48,Business,Approved,4109,474
3c5720e1-c023-420e-8b6c-eb493485049a,9e107c53-938e-436d-8b78-1cc6903370d4,Male,Employed,42564,7.48,48,Business,Rejected,4669,391
1a64be6e-54f5-4dd8-acad-a481f9aee3c7,52bb94ac-e3d8-4f36-acd9-4188262b503e,Female,Retired,45625,7.98,12,Education,Rejected,2906,489
d28d1fc6-5c67-4831-88fd-5b81e524533c,eb7fb869-0d38-4ee8-84fd-6c1a046686ff,Female,Employed,41604,12.39,12,Medical Bills,Approved,4808,637
cf55e5f4-902e-477f-9e90-c7247337fcf6,312b04aa-2f84-4842-819b-e2ac251f3388,Male,Unemployed,12213,6.66,36,Education,Defaulted,2958,780
02779b52-a8cc-45f8-970c-9f722f11dc9c,12556ec8-4e4a-4a46-8413-e149bc84ac2e,Male,Employed,22311,9.78,36,Medical Bills,Paid,4821,383
3a098056-a367-476a-a0f1-b03dc08f9023,74005f75-514f-48d8-9911-7a8ffa3f2c21,Female,Self-employed,2599,12.11,24,Medical Bills,Paid,2534,353
17b9e991-65e5-48b4-9ecd-ac8c51a9576c,653ff5ac-6fc6-455b-a712-853309f881b5,Female,Employed,6394,10.34,12,Business,Defaulted,3135,831
1f540460-7acd-46b1-a4f5-e5d31b23280e,dbd4ae8e-c6a7-48c3-9bcf-70bf23a415ba,Female,Unemployed,11866,7.18,24,Education,Rejected,4506,798
ef33b38c-e633-40d3-b1c5-50e616e004a6,398799ba-1959-4e52-8ba8-71763cd52821,Male,Self-employed,47034,13.71,60,Car Purchase,Paid,2958,842
5ffb9724-8ce8-45a0-8a2e-ca066bff6a18,3a9bc733-8fd3-4305-8b5e-ec59a5eef849,Male,Retired,15485,11.52,60,Education,Paid,4315,729
ab8f8e08-1a88-4a83-82d1-edf41a7b6d80,cf790a04-dd18-47de-882c-361b0f22630f,Male,Unemployed,38153,3.98,36,Education,Paid,4215,381
26635b9c-e911-4bfb-b802-cad6f3b2b050,ae3376fb-2900-423c-abb1-ae8a194b7c77,Female,Unemployed,14635,14.11,48,Home Renovation,Paid,443,784
72338553-c6a4-4f20-88c3-d013f060f6e2,605c453c-479a-420c-ab56-06b7f1c14561,Male,Employed,6037,12.06,36,Car Purchase,Approved,1088,811
0958fe2a-290b-47b3-94ec-b58c14b97362,d6cb444d-0b17-4395-a9e4-d4d33351714b,Male,Employed,25120,8.9,12,Education,Defaulted,201,404
ce0eae25-f0af-4bdc-b154-5de7ad486e9e,2cbba66a-cef8-4bef-a128-f2c091cdf3dd,Female,Self-employed,31973,4.52,12,Home Renovation,Rejected,2164,508
0a5e9b8b-fb0c-49a7-8aa6-40357b2fe637,50bd05d3-7013-49f4-a0fa-4e031e74b0d9,Female,Self-employed,49655,4.78,60,Home Renovation,Rejected,2384,409
8bd7970c-1ba2-4a5d-946f-dda4f3530af1,3269e921-7517-4641-ad05-e217dae3b06b,Male,Retired,48963,10.13,48,Home Renovation,Rejected,1629,750
bb8c42ed-1c9e-4796-816c-064ca988c71d,a2b456f6-6640-4042-8f3b-8570431addd3,Female,Employed,1797,12.13,36,Education,Rejected,4595,721
b06c5176-eeed-4710-b55c-3a4f8c7167af,6c16d518-121a-4351-b236-45d9a992e8df,Male,Self-employed,22667,12.82,12,Business,Defaulted,4410,481
1d606474-a420-486f-8ddd-7a1dc6c586fa,113a20bc-13ae-4b73-96e7-5c5ff718897a,Male,Retired,16564,5.16,12,Education,Approved,4766,326
53765c48-6924-4399-baa9-54086d9d2496,12bb1bcd-5f78-467c-ba40-9a13c56bec70,Male,Retired,43040,5.78,36,Medical Bills,Defaulted,1773,345
